Paper_ID,Your Name,Title,Abstract,Keywords,Description
PA018,Nirjara Jain,Machine Learning: Planetary Space Physics (review),"Overview of machine learning applications in planetary/space physics: event detection, classification, orbit prediction, and anomaly detection.",machine learning; space physics; planetary missions; anomaly detection; orbit prediction,"This review surveys applications of machine learning (ML) and artificial intelligence (AI) across planetary and space physics datasets. It covers tasks like automated event detection in magnetospheric and plasma measurements, classification of waveforms and particle signatures, data-driven models for ionospheric and thermospheric density prediction, orbit and attitude estimation improvements via learned models, and ML-enabled autonomy for spacecraft operations. The paper emphasizes how the volume and complexity of modern space datasets make ML attractive for speeding discovery and operational decision-making, while also highlighting challenges such as label scarcity, domain shifts between missions, interpretability needs, and the requirement for physically informed ML to avoid spurious results. Case studies from Cassini, MAVEN, and Earth-orbiting missions illustrate successful deployments, and the authors recommend best practices around reproducibility, uncertainty quantification, and hybrid physics-ML modelling for robust scientific and operational use."
PA019,Nirjara Jain,Extending service life of Hall thrusters: recent progress and future challenges,"Review of erosion mechanisms, magnetic shielding, materials and design innovations that extend Hall thruster lifetime.",electric propulsion; Hall thruster; erosion; magnetic shielding; lifetime,"This review compiles progress in Hall-effect thruster technology with a focus on lifetime limitations driven by channel-wall erosion and plasma-surface interactions. It surveys magnetic shielding and wall-less designs, low-sputter-yield materials, cathode development, and diagnostic approaches to characterise erosion. The review also discusses alternative propellants and pulsed-operation concepts intended to improve performance or reduce erosion rates. For mission planners, extending thruster service life is critical to enabling long-duration electric propulsion for GEO station-keeping, orbital transfer, or deep-space tugs. The paper synthesises laboratory lifetime tests, modelling efforts that predict erosion over mission durations, and engineering mitigations that have shown promise in prototype thrusters. Future research directions include better material science solutions, in-situ diagnostics for wear monitoring, and scale-up demonstrations that validate lifetime improvements at flight relevant conditions."
PA020,Nirjara Jain,Overview of Past Lunar In Situ Resource Utilization (ISRU) Techniques,"Comprehensive review of ISRU technologies (volatiles extraction, oxygen/fuel production, regolith processing) and their role in sustainable lunar exploration.",ISRU; Moon; regolith; oxygen production; lunar resources; in-situ resource utilization,"This overview compiles historical ISRU technology development and identifies promising techniques for extracting and using lunar resources. The review covers prospects for volatiles (water/ice) extraction from polar regolith, oxygen and fuel production via electrochemical or reduction processes, and construction technologies using regolith feedstocks (sintering, additive manufacturing). It discusses measurement and prospecting approaches to map resource distributions, trade-offs in system mass vs. in-situ yield, and how ISRU can transform mission architectures by reducing launch mass and supporting longer-term habitation. The paper also stresses demonstration priorities such as small-scale pilots (drill, extraction, and processing) in realistic lunar analogues and robust integration with power systems and thermal controls. Policy, commercial, and planetary protection considerations are discussed as key enablers and constraints for ISRU deployment."
PA021,Nirjara Jain,Small Satellites: A Revolution in Space Science (Keck Institute report),"A synthesis of how small satellites (CubeSats and microsats) have transformed mission design, enabling affordable, distributed science.",small satellites; CubeSats; distributed missions; Earth observation; technology democratization,"The Keck Institute report documents how small-satellite platforms (especially CubeSats) have democratized access to space, enabling low-cost science, rapid technology demonstrations, and constellation architectures for continuous observation. The report surveys successful missions, instrument miniaturization, propulsion miniaturization, and challenges in standards, radiation tolerance, and communications/ground support. It argues that smallsats can complement larger flagship missions by providing temporal coverage, distributed measurements, and risk-tolerant testbeds for new instruments or autonomy functions. The authors recommend community investment in standardized buses, flight heritage components, and coordinated mission architectures to amplify scientific return while controlling cost. The report has informed policy discussions and funding priorities for academic and commercial smallsat programs."
PA022,Nirjara Jain,The Psyche Gamma-Ray and Neutron Spectrometer,Overview of Psyche spacecraft’s GRNS instrument for mapping asteroid composition.,Psyche; gamma-ray spectrometer; neutron spectrometer; asteroid composition,"The paper describes the design, calibration, and scientific objectives of the Gamma-Ray and Neutron Spectrometer (GRNS) aboard NASA’s Psyche mission, planned to study the metal-rich asteroid Psyche. It covers detection sensitivity to elemental signatures (e.g., Fe, Ni, Si, K), expected spatial resolution, instrument limitations, and mission constraints such as radiation backgrounds and spacecraft orientation. Simulations of count rates and spectral analysis strategies are discussed, illustrating how GRNS data will be processed to infer bulk composition and constrain asteroid formation models. The work emphasizes the broader implications for planetary differentiation and early Solar System evolution."
PA023,Nirjara Jain,Strong Gravitational Lensing – Editorial,Editorial on gravitational lensing advances and future directions.,gravitational lensing; cosmology; dark matter; observational astrophysics,"This editorial frames recent breakthroughs in strong gravitational lensing, highlighting novel dataset opportunities and upcoming surveys. It emphasizes lensing’s role in dark matter mapping, measurement of Hubble constant tensions, and imaging of distant galaxies. The editorial proposes methodological innovations such as machine-learning enhancement of lens modeling, adaptive optics integration, and cross-survey data fusion to improve lens discovery and characterization. It outlines community efforts to standardize lensing analysis pipelines and anticipates scientific returns from upcoming telescopes like LSST and Euclid."
PA024,Nirjara Jain,Open Issues in Non-Gaussian Transport and Acceleration of Charged Energetic Particles in Space and Astrophysical Plasmas,Review on particle transport and acceleration in non-Gaussian regimes.,space plasmas; transport processes; non-Gaussian statistics; particle acceleration,"This review explores open questions in particle dynamics within space and astrophysical plasmas, focusing on non-Gaussian transport phenomena. It synthesizes theoretical and observational insights into superdiffusive and subdiffusive behaviors, anomalous transport in turbulent magnetized plasmas, and impacts on cosmic ray propagation. The authors analyze case studies from the heliosphere and planetary magnetospheres, exploring acceleration mechanisms like shock drift and reconnection. Non-Gaussian models are compared with observed particle distributions from spacecraft missions. The paper identifies modeling challenges, gaps in in-situ measurement coverage, and calls for new missions and simulations to test these statistical frameworks in realistic space environments."
PA025,Nirjara Jain,TRACERS Science Operations Center,Description of TRACERS mission’s science operations and infrastructure.,TRACERS; mission operations; magnetospheric science,"This article details the Science Operations Center (SOC) architecture for the TRACERS mission, which probes Earth's magnetic cusp and reconnection regions. It describes command planning, data downlink pipelines, calibration workflows, and coordination among science teams. The SOC supports rapid-response operations for dynamic events, data validation, and archiving following FAIR principles. Integrated simulation tools for pre-launch rehearsal and anomaly response are explained. Emphasis is placed on maintaining scientific quality, maximizing data return during transient phenomena, and ensuring timely dissemination to the community."
PA026,Nirjara Jain,Electron and Ion Dynamics in Reconnection Diffusion Regions,Review of particle behavior in magnetic reconnection diffusion zones.,reconnection; electron dynamics; ion dynamics; magnetosphere,"A comprehensive review of both electron and ion microphysics in reconnection diffusion regions, summarizing key findings from spacecraft observations, theory, and simulations. It covers current sheet formation, particle heating, non-Maxwellian velocities, guide-field effects, and wave-particle interactions. Results from missions like MMS and Cluster are synthesized to illustrate cross-scale coupling. The authors propose directions for future multi-scale modeling and high-resolution observations to resolve remaining uncertainties."
PA027,Nirjara Jain,Venus Cloud Research: Progress and Perspectives,Overview of recent findings and future priorities in Venus cloud science.,Venus; cloud composition; atmospheric chemistry; planetary atmospheres,"This review summarizes recent advances in understanding Venus’s cloud layers, including composition constraints (e.g., sulfuric acid, SO₂, aerosols) and dynamics from remote sensing and modeling. It discusses cloud-microphysics, circulation patterns, photochemical interactions, and implications for climate and habitability. The authors highlight mission observations (e.g., EnVision, Parker probe flybys) and laboratory analog experiments. Future priorities include in situ sampling, high-resolution imaging, and coupled modeling to unravel cloud formation and evolution."
PA028,Nirjara Jain,Mars Express: From Launch to Two-Decade Success Record,Retrospective on Mars Express mission achievements and impacts.,Mars Express; Mars exploration; mission legacy,"This paper reviews the legacy of ESA’s Mars Express mission over its first 20 years. It compiles science returns, including high-resolution imaging, atmospheric profiling, subsurface detection via radar, and discovery of water/ice. The review covers adaptive mission operations, hardware performance, longevity factors, and lessons learned for future Mars orbiters. The scientific portfolio includes geomorphology, mineralogy, atmospheric dynamics, and potential biosignatures. Reflections on international collaboration and cost-effective mission strategies are included."
PA029,Nirjara Jain,Sample Return Missions: Rosetta Stones from Small Bodies,Review of sample return missions and their scientific value.,sample return; asteroids; comets; planetary formation,"The review discusses several sample return missions (e.g., Hayabusa2, OSIRIS-REx) and their contributions to understanding Solar System formation, organic chemistry, and water delivery. It covers mission architectures, sample collection techniques, retrieval challenges, and laboratory analysis outcomes. Insights into early Solar System conditions, prebiotic materials, and isotopic compositions are synthesized. The paper also outlines future mission concepts and instrumentation trends."
PA030,Nirjara Jain,"The JUICE Radiation Environment Monitor, RADEM",Overview of RADEM for monitoring radiation at Jupiter’s moons.,JUICE; radiation environment; instrumentation; Jupiter moons,"The paper details the RADEM instrument aboard ESA’s JUICE spacecraft, designed to characterize energetic particle fluxes in Jupiter’s radiation belts. It describes detector architecture, calibration approach, orbit sampling strategy, and expected contributions to understanding radiation hazards for future missions and habitability considerations of icy moons."
PA031,Nirjara Jain,Vertical Structure of the Martian Atmosphere: Mars Express Views,Analysis of Mars Express contributions to Martian atmospheric profiling.,Mars atmosphere; Mars Express; vertical profiling,"This study compiles observations from Mars Express instruments (e.g., SPICAM, MARSIS) to characterize Mars’s vertical atmospheric structure, including temperature, pressure, composition gradients, seasonal variations, and escape processes. It highlights modeling improvements informed by data and implications for climate modeling and potential surface habitability."
PA032,Nirjara Jain,The Age and Origin of Saturn’s Rings,Review of theories on Saturn’s ring formation and age.,Saturn; rings; planetary formation,"This research synthesizes evidence on Saturn’s rings’ age and origin, covering dynamical stability, meteoritic contamination rates, ring mass estimation, and resonance interactions. It evaluates competing theories (primordial vs. recent formation) and discusses Cassini mission constraints. The implications for satellite formation and planetary ring evolution are addressed."
PA033,Nirjara Jain,On Space Debris Removal by Lasers: Can Spatially and Temporally Shaped Laser Pulses Be Advantageous for Propulsion?,Preprint exploring laser-based debris removal strategies.,space debris; laser propulsion; debris mitigation,"This arXiv preprint proposes using spatially and temporally shaped laser pulses to enhance the efficiency of laser-based propulsion for deorbiting space debris. It models how tailored pulse shaping could reduce energy requirements compared to conventional continuous laser approaches, potentially enabling scalable, low-mass debris removal. The author reviews current debris removal challenges, laser-orbit coupling physics, and suggests experimental validation pathways."
PA034,HARDIK GAUR,Constructing knowledge graphs and their biomedical applications,"Knowledge graphs can support many biomedical applications. These graphs represent biomedical con-
cepts and relationships in the form of nodes and edges. In this review, we discuss how these graphs
are constructed and applied with a particular focus on how machine learning approaches are changing
these processes. Biomedical knowledge graphs have often been constructed by integrating databases that
were populated by experts via manual curation, but we are now seeing a more robust use of automated
systems. A number of techniques are used to represent knowledge graphs, but often machine learning
methods are used to construct a low-dimensional representation that can support many different appli-
cations. This representation is designed to preserve a knowledge graph’s local and/or global structure.
Additional machine learning methods can be applied to this representation to make predictions within
genomic, pharmaceutical, and clinical domains. We frame our discussion first around knowledge graph
construction and then around unifying representational learning techniques and unifying applications.
Advances in machine learning for biomedicine are creating new opportunities across many domains,
and we note potential avenues for future work with knowledge graphs that appear particularly
promising.","Knowledge Graphs,Biomedical Applications, Text Mining, Natural Language Processing (NLP), Machine Learning (ML)
, Relationship Extraction, Data Curation/Manual Curation, Network Embeddings/Representational Learning , Drug Repurposing, Multi-omics Applications, Patient Diagnosis/Clinical Applications, Neural Networks, Matrix Factorization, Translational Distance Models, Weak/Distant Supervision","The paper, ""Constructing knowledge graphs and their biomedical applications,"" reviews the methods used to build and apply knowledge graphs in the biomedical field. Knowledge graphs represent biomedical entities as nodes and their relationships as edges. The authors discuss how these graphs are traditionally built using manually curated databases but note a growing shift toward automated, machine learning-based approaches like text mining and natural language processing.





The paper also explores how machine learning techniques, such as matrix factorization and neural networks, are used to create low-dimensional representations of these graphs, which are called network embeddings. These embeddings are then applied to solve a variety of biomedical challenges, including drug repurposing, predicting drug-target interactions, and improving patient diagnoses based on electronic health records. Ultimately, the review highlights the potential of knowledge graphs to integrate vast amounts of biomedical data and accelerate scientific discovery."
PA035,Shreyash Thakur,Advances in Astronaut Health Monitoring During Long-Duration Space Mission,"NASA's latest research explores the impact of extended spaceflight on astronaut health through rigorous testing on the International Space Station. Subjects undergo medical tests such as blood sampling, heart scans, and continuous vital sign monitoring with wearable technology. Results highlight the physiological effects of microgravity, including immune changes, cardiovascular adaptations, and stress responses. The findings inform countermeasures for future deep-space missions.","astronaut health, spaceflight, microgravity, ISS, wearable technology, immune response, cardiovascular health","This paper details a comprehensive research initiative aboard the ISS where astronauts participated in daily medical assessments, including immunity assays and cardiovascular diagnostics. Technologies such as wearable biosensors enabled real-time monitoring of vital signs during various activities. Findings revealed that long-term exposure to microgravity alters cellular immune function and induces cardiovascular changes, such as artery stiffness and blood flow variation. These insights are critical for NASA’s development of preventive countermeasures, such as exercise protocols, nutritional interventions, and telemedicine strategies to maintain crew health on missions to Mars and beyond. Real-time data transmission allowed Earth-based medical teams to analyze astronaut health and quickly provide recommendations. The results of this ongoing program are shaping guidelines for astronaut selection, spacecraft design, and mission planning, while also advancing knowledge for remote medicine applications on Earth."
PA036,Shreyash Thakur,"Mitigating Space Debris Risks: NASA Policy, Technology, and Cost-Benefit Analysis","NASA research provides new data and cost-effective strategies for managing orbital debris—ranging from millimeter fragments to defunct satellites—through improved tracking, shielding, and rapid deorbiting of spacecraft. The study measures risk in dollars and compares actions like shielding, tracking, and debris remediation over a 30-year horizon, helping policymakers choose optimal portfolios to enhance space sustainability and astronaut safety.","space debris, orbital environment, risk mitigation, cost-benefit analysis, sustainability, NASA policy","This research paper presents a technical and economic evaluation of measures to reduce orbital debris hazards in Earth’s orbit. NASA’s Office of Technology, Policy, and Strategy applied detailed simulations to estimate the evolving debris environment and quantify the cost-effectiveness of mitigation, tracking, and remediation methods. Unlike previous studies, the analysis directly models risk in financial terms and shows that rapid deorbiting of obsolete spacecraft, targeted shielding, and precise tracking of small debris fragments can substantially lower operational risks and costs. The report also highlights that some remediation strategies are as impactful as mitigation and emphasizes the need for collaborative international policies. These results provide decision-makers with concrete guidance for future debris management, prioritizing combinations of actions that ensure long-term space sustainability and the security of crewed and robotic missions.
"
PA037,Shreyash Thakur,Exercise and Physics Research on ISS: Protecting Astronaut Health,NASA’s ISS research prioritizes exercise studies and space physics to optimize astronaut fitness for long missions,"astronaut health, microgravity, exercise, ISS","Ongoing research aboard the ISS is focused on developing fitness programs to protect astronaut health during extended space missions. By analyzing downlinked exercise data, Earth-based doctors create targeted regimens for astronauts, aiming to mitigate muscle and bone loss associated with microgravity. The findings inform mission planners about optimal practices for future lunar and Mars expeditions."
PA038,Shreyash Thakur,Space-Based Production of Human Tissues and Preventing Space-Caused Head and Eye Pressure,ISS research advances biomedical engineering by studying tissue growth and countermeasures for space-induced head/eye pressure.,"tissue engineering, microgravity, intracranial pressure, ISS","This study aboard the ISS explores space-based tissue production methods and investigates the causes and prevention of head and eye pressure symptoms in astronauts. Experimental cultures of human tissues in microgravity reveal unique cellular adaptations, while physiological monitoring pinpoints fluid shifts contributing to increased cranial pressure. Results guide future astronaut care protocols and biomedical innovation."
PA039,Shreyash Thakur,Four Research Volunteers to Participate in NASA’s Year-Long Mars Simulation Mission,"Volunteers will simulate a full Mars mission in the CHAPEA habitat, providing data on human factors and mission logistics.","Mars simulation, human factors, analog missions, CHAPEA","This paper discusses NASA’s year-long Mars simulation in Houston, where volunteers reside in a closed habitat mimicking Martian conditions. Researchers analyze behavioral, medical, and logistical data to improve crew performance and resource management for real Mars journeys. Findings support planning for communication delays, rationing, and team cohesion in deep-space missions."
PA040,Shreyash Thakur,SpaceX 33rd Commercial Resupply Mission Delivers Science to the ISS,"NASA's SpaceX CRS-33 flight dispatches new scientific experiments and supplies, supporting ISS research and daily crew needs.","The SpaceX 33rd Commercial Resupply Mission transports over 5,000 pounds of research materials, food, and equipment to the ISS. High-priority payloads include biological and material science modules. The coordinated launch and docking procedures improve efficiency and reflect ongoing commercial partnerships vital for sustained space station science","The SpaceX 33rd Commercial Resupply Mission transports over 5,000 pounds of research materials, food, and equipment to the ISS. High-priority payloads include biological and material science modules. The coordinated launch and docking procedures improve efficiency and reflect ongoing commercial partnerships vital for sustained space station science"
PA041,Shreyash Thakur,NASA and Northrop Grumman Accelerate Next ISS Cargo Flight for Artemis and Mars Missions,Collaboration maximizes launch windows for resupply missions critical to future lunar and Martian exploration.,"Artemis, resupply missions, Northrop Grumman, ISS","This report details an expedited cargo mission involving Northrop Grumman and Artemis support logistics. Major operational improvements ensure timely delivery of equipment for lunar and Mars preparation, advancing technologies for autonomous docking, rapid turnaround, and coordination between NASA, SpaceX, and commercial partners"
PA042,Shreyash Thakur,Launch and Docking of Roscosmos Progress 93 Resupply Spacecraft to International Space Station,"Launch coverage tracks three tons of supplies en route to the ISS, managed by Roscosmos for crew support and station maintenance","Progress 93, ISS, Roscosmos, logistics","This research release covers the Roscosmos Progress 93 spacecraft delivering essential supplies—food, fuel, research materials—to the ISS. Tracking systems and docking protocols are analyzed, yielding insights on cargo reliability, station autonomy, and international cooperation in maintaining human presence in low Earth orbit."
